# Optical absorption spectrum of Chlorophyll a in methanol
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by J. Li on 12-11-1997 using a Cary 3.  
# The absorption values were collected using a spectral bandwidth of 1.0 nm, a signal averaging time of 0.133 sec, a data interval of 0.25 nm, and a scan rate of 112.5 nm/min.
#
# These measurements were scaled to make the molar extinction coefficient match
# the value of 111700 cm-1/M at 417.8 nm.  These values were 
# then interpolated to report extinction coefficients at regular 1nm intervals
#
# The reported molar extinction coefficient is from
# Strain, H. H., M. R. Thomas and J. J. Katz (1963) Spectral absorption properties of ordinary and fully deuteriated chlorophylls a and b.  Biochim. Biophys. Acta 75, 306-311.
#
##Wavelength (nm)	Molar Extinction (cm-1/M) 
219.75	59792
220	58929
220.25	58954
220.5	58596
220.75	58677
221	58490
221.25	57767
221.5	58551
221.75	57099
222	57544
222.25	57342
222.5	57267
222.75	56913
223	57260
223.25	55199
223.5	56651
223.75	55831
224	55397
224.25	55017
224.5	55308
224.75	54066
225	54470
225.25	53620
225.5	53315
225.75	53639
226	53476
226.25	52696
226.5	53722
226.75	52520
227	52222
227.25	51987
227.5	50995
227.75	51147
228	50971
228.25	51002
228.5	51002
228.75	49725
229	49923
229.25	49780
229.5	49186
229.75	49534
230	49388
230.25	48983
230.5	47642
230.75	48359
231	48095
231.25	48337
231.5	46883
231.75	46300
232	46437
232.25	45525
232.5	45452
232.75	44891
233	44444
233.25	44297
233.5	43430
233.75	43350
234	42940
234.25	41648
234.5	40722
234.75	40482
235	41093
235.25	40919
235.5	39811
235.75	39648
236	38990
236.25	38748
236.5	38367
236.75	37327
237	37426
237.25	36611
237.5	37021
237.75	36759
238	35563
238.25	35914
238.5	35685
238.75	34792
239	34812
239.25	33973
239.5	34551
239.75	33556
240	33749
240.25	33385
240.5	33201
240.75	32527
241	32309
241.25	31937
241.5	32346
241.75	31474
242	32232
242.25	31090
242.5	30453
242.75	29977
243	30250
243.25	29981
243.5	29750
243.75	28912
244	28958
244.25	28508
244.5	28492
244.75	28143
245	27918
245.25	27481
245.5	27286
245.75	27282
246	26706
246.25	26289
246.5	26057
246.75	25705
247	25850
247.25	25274
247.5	25503
247.75	25055
248	24733
248.25	25408
248.5	24976
248.75	24699
249	24648
249.25	24550
249.5	24264
249.75	24485
250	23924
250.25	23751
250.5	23706
250.75	23252
251	23275
251.25	22728
251.5	22603
251.75	22563
252	22712
252.25	22569
252.5	22080
252.75	21751
253	21407
253.25	21912
253.5	21408
253.75	21086
254	21101
254.25	20762
254.5	19917
254.75	20101
255	20517
255.25	19721
255.5	19982
255.75	19696
256	19596
256.25	19414
256.5	19502
256.75	18888
257	19277
257.25	18745
257.5	18839
257.75	18992
258	18734
258.25	18632
258.5	18498
258.75	18496
259	18395
259.25	18345
259.5	18099
259.75	18197
260	17933
260.25	18086
260.5	18238
260.75	17946
261	18240
261.25	18543
261.5	17970
261.75	18727
262	18347
262.25	18736
262.5	18617
262.75	18901
263	18645
263.25	17889
263.5	18488
263.75	18317
264	18198
264.25	18496
264.5	18399
264.75	18383
265	18553
265.25	18856
265.5	18465
265.75	18844
266	18689
266.25	18961
266.5	19027
266.75	18740
267	18357
267.25	18387
267.5	19151
267.75	18692
268	18922
268.25	19027
268.5	19178
268.75	19040
269	19168
269.25	19472
269.5	19204
269.75	19714
270	19286
270.25	19264
270.5	19247
270.75	19615
271	19809
271.25	19707
271.5	19401
271.75	19923
272	19348
272.25	19605
272.5	20046
272.75	19988
273	19722
273.25	20156
273.5	20011
273.75	20163
274	20470
274.25	20021
274.5	20341
274.75	20133
275	20523
275.25	20677
275.5	20479
275.75	20246
276	20175
276.25	20189
276.5	20782
276.75	20585
277	20426
277.25	20316
277.5	20302
277.75	20384
278	20619
278.25	20032
278.5	20740
278.75	19925
279	19825
279.25	20155
279.5	20315
279.75	20171
280	19774
280.25	19920
280.5	20094
280.75	20606
281	20435
281.25	19670
281.5	19623
281.75	19778
282	19630
282.25	19708
282.5	19838
282.75	19343
283	20516
283.25	19590
283.5	20040
283.75	19594
284	19632
284.25	19372
284.5	19352
284.75	19323
285	19548
285.25	18815
285.5	19517
285.75	18938
286	18970
286.25	19215
286.5	19370
286.75	19098
287	18630
287.25	19067
287.5	18635
287.75	18395
288	18610
288.25	18919
288.5	19098
288.75	18303
289	18626
289.25	18560
289.5	18642
289.75	18738
290	18434
290.25	18174
290.5	18457
290.75	17921
291	18054
291.25	18151
291.5	18049
